时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,河北省,迁西,8,30.1,20.3,170.4
1981年-2010年,河北省,迁西,9,26,14.1,64.5
1981年-2010年,河北省,迁西,10,19,6.3,27.3
1981年-2010年,河北省,迁西,11,9.4,-2,9.8
1981年-2010年,河北省,迁西,12,3,-7.9,4.6
1981年-2010年,河北省,青龙,1,-0.2,-13.6,2.9
1981年-2010年,河北省,青龙,2,3.8,-9.7,3.1
1981年-2010年,河北省,青龙,3,10.1,-2.8,11.2
1981年-2010年,河北省,青龙,4,18.9,5.4,27.3
1981年-2010年,河北省,青龙,5,25,11.4,46
1981年-2010年,河北省,青龙,6,28.5,16.2,97.8
1981年-2010年,河北省,青龙,7,29.7,19.9,199.6
1981年-2010年,河北省,青龙,8,29.1,18.5,164.8
1981年-2010年,河北省,青龙,9,24.9,11.7,63.7
1981年-2010年,河北省,青龙,10,17.9,3.9,28.1
1981年-2010年,河北省,青龙,11,8.5,-4.1,9
1981年-2010年,河北省,青龙,12,1.8,-10.8,2.9
1981年-2010年,河北省,青县,1,2.4,-8.1,3
1981年-2010年,河北省,青县,2,6.4,-5,4.7
1981年-2010年,河北省,青县,3,13,0.9,9.9
1981年-2010年,河北省,青县,4,21.5,8.6,17.9
1981年-2010年,河北省,青县,5,27.2,14.5,36.3
1981年-2010年,河北省,青县,6,31.5,19.6,63.3
1981年-2010年,河北省,青县,7,32,22.5,159.3
1981年-2010年,河北省,青县,8,30.7,21.5,120.3
1981年-2010年,河北省,青县,9,27,16,45.6
1981年-2010年,河北省,青县,10,20.5,8.9,31.5
1981年-2010年,河北省,青县,11,11.2,0.5,11.9
1981年-2010年,河北省,青县,12,4.1,-5.6,3.2
1981年-2010年,河北省,清河,1,3.5,-7.2,3.2
1981年-2010年,河北省,清河,2,7.5,-3.7,6.7
1981年-2010年,河北省,清河,3,13.8,2.1,11.7
1981年-2010年,河北省,清河,4,21.8,9.1,22.5
1981年-2010年,河北省,清河,5,27.5,15,45.8
1981年-2010年,河北省,清河,6,32.2,20.2,64.8
1981年-2010年,河北省,清河,7,32,22.8,114.5
1981年-2010年,河北省,清河,8,30.5,21.4,122.4
1981年-2010年,河北省,清河,9,27.1,15.8,43.6
1981年-2010年,河北省,清河,10,21.4,9.2,29.8
1981年-2010年,河北省,清河,11,12.4,1,11.1
1981年-2010年,河北省,清河,12,5.3,-5.1,3.7
1981年-2010年,河北省,邱县,1,3.8,-6.9,3.5
1981年-2010年,河北省,邱县,2,7.9,-3.5,6.8
1981年-2010年,河北省,邱县,3,14.1,2.2,12.8
1981年-2010年,河北省,邱县,4,22,9.2,22
1981年-2010年,河北省,邱县,5,27.6,14.9,42.5
1981年-2010年,河北省,邱县,6,32.3,20.2,55.5
1981年-2010年,河北省,邱县,7,32,22.7,137.9
1981年-2010年,河北省,邱县,8,30.5,21.4,130.8
1981年-2010年,河北省,邱县,9,27,15.9,52.9
1981年-2010年,河北省,邱县,10,21.4,9.2,30.4
1981年-2010年,河北省,邱县,11,12.6,1.1,12.7
1981年-2010年,河北省,邱县,12,5.6,-4.7,3.8
1981年-2010年,河北省,曲阳,1,2.9,-9.6,2.3
1981年-2010年,河北省,曲阳,2,6.6,-5.9,4.1
1981年-2010年,河北省,曲阳,3,13.2,0.1,10.5
1981年-2010年,河北省,曲阳,4,21.1,7.1,20.1
1981年-2010年,河北省,曲阳,5,26.5,12.6,41.1
1981年-2010年,河北省,曲阳,6,31,17.9,60
1981年-2010年,河北省,曲阳,7,31.3,21.4,130
1981年-2010年,河北省,曲阳,8,29.6,20,130.2
1981年-2010年,河北省,曲阳,9,26.1,13.8,53.5
1981年-2010年,河北省,曲阳,10,20.2,6.5,19.9
1981年-2010年,河北省,曲阳,11,11.4,-1.3,10.5
1981年-2010年,河北省,曲阳,12,4.7,-6.8,2.1
1981年-2010年,河北省,曲周,1,3.8,-6.7,3.5
1981年-2010年,河北省,曲周,2,7.9,-3.4,6.5
1981年-2010年,河北省,曲周,3,14,2.2,13.1
1981年-2010年,河北省,曲周,4,21.5,8.9,20.3
1981年-2010年,河北省,曲周,5,27,14.5,43
1981年-2010年,河北省,曲周,6,32.1,20,53.1
1981年-2010年,河北省,曲周,7,32.1,22.8,119.3
1981年-2010年,河北省,曲周,8,30.4,21.4,121.1
1981年-2010年,河北省,曲周,9,26.9,15.9,51.3
1981年-2010年,河北省,曲周,10,21.3,9.4,30.2
1981年-2010年,河北省,曲周,11,12.4,1.2,12.8
1981年-2010年,河北省,曲周,12,5.5,-4.4,3.4
1981年-2010年,河北省,饶阳,1,2.7,-8.3,2.3
1981年-2010年,河北省,饶阳,2,6.7,-4.8,5.1
1981年-2010年,河北省,饶阳,3,13.4,1.3,11.2
1981年-2010年,河北省,饶阳,4,21.7,8.7,21
1981年-2010年,河北省,饶阳,5,27.4,14.5,35.1
1981年-2010年,河北省,饶阳,6,31.8,19.5,64.7
1981年-2010年,河北省,饶阳,7,32,22.4,156.4
1981年-2010年,河北省,饶阳,8,30.3,21.1,124.3
1981年-2010年,河北省,饶阳,9,26.7,15.4,47.6
1981年-2010年,河北省,饶阳,10,20.6,8.3,23.3
1981年-2010年,河北省,饶阳,11,11.2,0.1,11
1981年-2010年,河北省,饶阳,12,4.2,-5.8,2.9
1981年-2010年,河北省,任泽,1,3.6,-8.2,2.6
1981年-2010年,河北省,任泽,2,7.7,-4.8,5.7
1981年-2010年,河北省,任泽,3,14.1,1.2,12.2
1981年-2010年,河北省,任泽,4,21.6,8.2,17.4
1981年-2010年,河北省,任泽,5,27.1,13.9,43.9
1981年-2010年,河北省,任泽,6,32.4,19.5,49.8
1981年-2010年,河北省,任泽,7,32.2,22.4,142.2
1981年-2010年,河北省,任泽,8,30.4,20.9,113.1
1981年-2010年,河北省,任泽,9,26.9,15.3,55.3
1981年-2010年,河北省,任泽,10,21.3,8.5,25.4
1981年-2010年,河北省,任泽,11,12,0.1,11.6
1981年-2010年,河北省,任泽,12,5.2,-5.6,2.6
1981年-2010年,河北省,三河,1,1.4,-9.6,3
1981年-2010年,河北省,三河,2,5.3,-6.2,3.7
1981年-2010年,河北省,三河,3,11.9,-0.2,9.8
1981年-2010年,河北省,三河,4,20.3,7.4,21.3
1981年-2010年,河北省,三河,5,26,13.3,38.9
1981年-2010年,河北省,三河,6,30.2,18.4,79
1981年-2010年,河北省,三河,7,30.9,21.8,178
1981年-2010年,河北省,三河,8,29.9,20.6,150.3
1981年-2010年,河北省,三河,9,26.2,14.7,56.9
1981年-2010年,河北省,三河,10,19.3,7.5,25.3
1981年-2010年,河北省,三河,11,9.8,-1,11
1981年-2010年,河北省,三河,12,3.2,-6.8,2.9
1981年-2010年,河北省,沙河,1,3.9,-7.6,2.8
1981年-2010年,河北省,沙河,2,7.9,-4.4,5.8
1981年-2010年,河北省,沙河,3,14,1.3,12.3
1981年-2010年,河北省,沙河,4,21.4,8.2,19.3
1981年-2010年,河北省,沙河,5,26.8,13.8,43.5
1981年-2010年,河北省,沙河,6,32.3,19.5,47.5
1981年-2010年,河北省,沙河,7,32,22.4,139.9
1981年-2010年,河北省,沙河,8,30.2,20.9,129.6
1981年-2010年,河北省,沙河,9,27,15.5,50
1981年-2010年,河北省,沙河,10,21.4,9.2,27.6
1981年-2010年,河北省,沙河,11,12.3,0.7,11.3
1981年-2010年,河北省,沙河,12,5.6,-5.1,2.6
1981年-2010年,河北省,尚义,1,-6.8,-20.5,2.1
1981年-2010年,河北省,尚义,2,-1.6,-16.2,3.2
1981年-2010年,河北省,尚义,3,5,-9.5,7.7
1981年-2010年,河北省,尚义,4,13.6,-1.4,19.6
1981年-2010年,河北省,尚义,5,20.2,5.2,33
1981年-2010年,河北省,尚义,6,24.6,10.9,62.9
1981年-2010年,河北省,尚义,7,26.4,13.8,112.2
1981年-2010年,河北省,尚义,8,24.5,11.8,87.8
1981年-2010年,河北省,尚义,9,19.9,6.3,52.1
1981年-2010年,河北省,尚义,10,12.2,-1.5,20.3
1981年-2010年,河北省,尚义,11,2.7,-10.6,5.4
1981年-2010年,河北省,尚义,12,-4.9,-17.8,2.6
1981年-2010年,河北省,涉县,1,5.3,-7.2,3.9
1981年-2010年,河北省,涉县,2,8.6,-4.2,6.9
1981年-2010年,河北省,涉县,3,14.3,1.1,16.4
1981年-2010年,河北省,涉县,4,22.1,7.7,21
1981年-2010年,河北省,涉县,5,27.3,12.8,44
1981年-2010年,河北省,涉县,6,31.1,17.5,69.3
1981年-2010年,河北省,涉县,7,31.3,20.7,136.1
1981年-2010年,河北省,涉县,8,29.7,19.3,126.7
1981年-2010年,河北省,涉县,9,26,13.8,61.6
1981年-2010年,河北省,涉县,10,20.9,7.4,31.8
1981年-2010年,河北省,涉县,11,13.7,0.4,14
1981年-2010年,河北省,涉县,12,7.2,-4.8,3.3
1981年-2010年,河北省,深泽,1,3,-7.9,2.3
1981年-2010年,河北省,深泽,2,7,-4.6,4.4
1981年-2010年,河北省,深泽,3,13.6,1.3,10.3
1981年-2010年,河北省,深泽,4,21.5,8.4,23.2
1981年-2010年,河北省,深泽,5,27.1,14.1,35.3
1981年-2010年,河北省,深泽,6,31.9,19.4,67.9
1981年-2010年,河北省,深泽,7,32.1,22.4,109.1
1981年-2010年,河北省,深泽,8,30.3,21,137
1981年-2010年,河北省,深泽,9,26.7,15.3,46.4
1981年-2010年,河北省,深泽,10,20.8,8.4,22.2
1981年-2010年,河北省,深泽,11,11.3,0.2,11.9
1981年-2010年,河北省,深泽,12,4.5,-5.4,2.6
1981年-2010年,河北省,深州,1,3,-7.3,2
1981年-2010年,河北省,深州,2,7,-4.1,5.4
1981年-2010年,河北省,深州,3,13.6,1.8,10.8
1981年-2010年,河北省,深州,4,21.6,9.1,20.8
1981年-2010年,河北省,深州,5,27.2,14.8,37
1981年-2010年,河北省,深州,6,31.8,19.9,55.7
1981年-2010年,河北省,深州,7,32.1,22.7,141.9
1981年-2010年,河北省,深州,8,30.3,21.5,124.2
1981年-2010年,河北省,深州,9,26.7,15.9,44.9
1981年-2010年,河北省,深州,10,20.8,9.1,25.3
1981年-2010年,河北省,深州,11,11.5,0.9,11.5
1981年-2010年,河北省,深州,12,4.6,-5,3
1981年-2010年,河北省,顺平,1,2.6,-9.1,2.6
1981年-2010年,河北省,顺平,2,6.5,-5.4,4
1981年-2010年,河北省,顺平,3,13.1,0.8,10.1
1981年-2010年,河北省,顺平,4,21,8.1,19.7
1981年-2010年,河北省,顺平,5,26.5,13.9,35.4
1981年-2010年,河北省,顺平,6,31.1,19,58.3
1981年-2010年,河北省,顺平,7,31.5,22.1,155.4
1981年-2010年,河北省,顺平,8,29.9,20.7,137.1
1981年-2010年,河北省,顺平,9,26.2,14.9,51.4
1981年-2010年,河北省,顺平,10,20,7.9,22.1
1981年-2010年,河北省,顺平,11,10.9,-0.3,10.7
1981年-2010年,河北省,顺平,12,4.2,-6.3,2.2
1981年-2010年,河北省,肃宁,1,2.6,-9.1,2.5
1981年-2010年,河北省,肃宁,2,6.7,-5.4,4.8
1981年-2010年,河北省,肃宁,3,13.4,0.7,10.2
1981年-2010年,河北省,肃宁,4,21.7,8.1,22.3
1981年-2010年,河北省,肃宁,5,27.3,14,34
1981年-2010年,河北省,肃宁,6,31.8,19.2,63.5
1981年-2010年,河北省,肃宁,7,32,22.2,153.2
1981年-2010年,河北省,肃宁,8,30.3,20.9,124.2
1981年-2010年,河北省,肃宁,9,26.6,14.9,48.9
1981年-2010年,河北省,肃宁,10,20.6,7.7,23.7
1981年-2010年,河北省,肃宁,11,11,-0.6,11.3
1981年-2010年,河北省,肃宁,12,4.1,-6.5,2.7
1981年-2010年,河北省,唐县,1,3,-8.3,2.9
1981年-2010年,河北省,唐县,2,6.9,-4.9,4.8
1981年-2010年,河北省,唐县,3,13.4,1.1,11.1
1981年-2010年,河北省,唐县,4,21.4,8.2,21.8
1981年-2010年,河北省,唐县,5,26.8,14,36.1
1981年-2010年,河北省,唐县,6,31.2,19.2,62
1981年-2010年,河北省,唐县,7,31.7,22.3,144.7
1981年-2010年,河北省,唐县,8,30.2,21,133.9
1981年-2010年,河北省,唐县,9,26.6,15.2,56.5
1981年-2010年,河北省,唐县,10,20.5,8.3,20.5
1981年-2010年,河北省,唐县,11,11.4,0.1,11.1
1981年-2010年,河北省,唐县,12,4.7,-5.6,2.7
1981年-2010年,河北省,万全,1,-2.4,-15.3,2.1
1981年-2010年,河北省,万全,2,2.1,-11.3,3.1
1981年-2010年,河北省,万全,3,8.6,-5,8.6
1981年-2010年,河北省,万全,4,18,3.3,19.5
1981年-2010年,河北省,万全,5,24.7,10.5,32.2
1981年-2010年,河北省,万全,6,28.6,15.4,61.3
1981年-2010年,河北省,万全,7,29.6,18.2,89.7
1981年-2010年,河北省,万全,8,27.9,16.4,76.7
1981年-2010年,河北省,万全,9,23.4,10.3,49
1981年-2010年,河北省,万全,10,16,3,17.9
1981年-2010年,河北省,万全,11,6.3,-5.9,5.2
1981年-2010年,河北省,万全,12,-0.8,-12.8,2.3
1981年-2010年,河北省,望都,1,2.6,-9.8,2.2
1981年-2010年,河北省,望都,2,6.5,-6.2,4.4
1981年-2010年,河北省,望都,3,13.1,0,10.4
1981年-2010年,河北省,望都,4,20.8,7.1,20
1981年-2010年,河北省,望都,5,26.1,12.9,34.8
1981年-2010年,河北省,望都,6,31.2,18.4,60.2
1981年-2010年,河北省,望都,7,31.5,21.7,138.3
1981年-2010年,河北省,望都,8,29.8,20.2,124.7
1981年-2010年,河北省,望都,9,26.2,14,56.4
1981年-2010年,河北省,望都,10,20.1,7.5,21.9
1981年-2010年,河北省,望都,11,10.8,-0.8,10.8
1981年-2010年,河北省,望都,12,4.2,-6.7,2.3
1981年-2010年,河北省,威县,1,3.6,-7.5,3.3
1981年-2010年,河北省,威县,2,7.7,-3.9,6.7
1981年-2010年,河北省,威县,3,14.1,1.9,12.5
1981年-2010年,河北省,威县,4,22.2,9,20
1981年-2010年,河北省,威县,5,27.7,14.8,45.2
1981年-2010年,河北省,威县,6,32.2,20,57.9
1981年-2010年,河北省,威县,7,32,22.6,124.2
1981年-2010年,河北省,威县,8,30.4,21.3,130
1981年-2010年,河北省,威县,9,26.9,15.7,48.9
1981年-2010年,河北省,威县,10,21.4,8.7,29.3
1981年-2010年,河北省,威县,11,12.5,0.6,11.6
1981年-2010年,河北省,威县,12,5.4,-5.2,3.6
1981年-2010年,河北省,围场,1,-5.6,-17.3,1.7
1981年-2010年,河北省,围场,2,-1,-14.1,2.8
1981年-2010年,河北省,围场,3,5.8,-7.4,7.3
1981年-2010年,河北省,围场,4,15.1,0.9,18
1981年-2010年,河北省,围场,5,21.9,7.6,38.2
1981年-2010年,河北省,围场,6,25.7,12.8,71.5
1981年-2010年,河北省,围场,7,27.4,16.2,121.4
1981年-2010年,河北省,围场,8,26.1,14.4,93.7
1981年-2010年,河北省,围场,9,21.3,7.9,50.9
1981年-2010年,河北省,围场,10,13.9,0.7,22.8
1981年-2010年,河北省,围场,11,3.6,-8.2,5.7
1981年-2010年,河北省,围场,12,-3.8,-14.9,1.4
1981年-2010年,河北省,蔚县,1,-3,-17.3,1.7
1981年-2010年,河北省,蔚县,2,2.3,-12.5,3.1
1981年-2010年,河北省,蔚县,3,9.1,-5.2,10.5
1981年-2010年,河北省,蔚县,4,17.7,2.6,20.3
1981年-2010年,河北省,蔚县,5,24.1,9.6,37.9
1981年-2010年,河北省,蔚县,6,28,14.6,58.8
1981年-2010年,河北省,蔚县,7,29.1,17.4,107.4
1981年-2010年,河北省,蔚县,8,27.3,15.5,77.9
1981年-2010年,河北省,蔚县,9,23,9.3,51.7
1981年-2010年,河北省,蔚县,10,16.3,2,22
1981年-2010年,河北省,蔚县,11,6.7,-7,6.8
1981年-2010年,河北省,蔚县,12,-1.1,-14.4,1.9
1981年-2010年,河北省,魏县,1,4.1,-6.2,4
1981年-2010年,河北省,魏县,2,8.1,-2.8,6.4
1981年-2010年,河北省,魏县,3,14.1,2.4,16.1
1981年-2010年,河北省,魏县,4,21.3,8.8,23
1981年-2010年,河北省,魏县,5,26.6,14.1,47.8
1981年-2010年,河北省,魏县,6,31.9,19.6,69.9
1981年-2010年,河北省,魏县,7,31.8,22.7,141.2
1981年-2010年,河北省,魏县,8,30.3,21.4,111.2
1981年-2010年,河北省,魏县,9,26.8,15.8,59
1981年-2010年,河北省,魏县,10,21.3,9.2,32.7
1981年-2010年,河北省,魏县,11,12.7,1.4,13.6
1981年-2010年,河北省,魏县,12,5.9,-4.2,4.4
1981年-2010年,河北省,文安,1,2.1,-8.5,2.5
1981年-2010年,河北省,文安,2,6.2,-5.2,4.2
1981年-2010年,河北省,文安,3,12.9,0.9,9.8
1981年-2010年,河北省,文安,4,21.4,8.6,21.4
1981年-2010年,河北省,文安,5,27.3,14.5,32.7
1981年-2010年,河北省,文安,6,31.6,19.6,72.3
1981年-2010年,河北省,文安,7,32.1,22.6,160.9
1981年-2010年,河北省,文安,8,30.7,21.6,118.4
1981年-2010年,河北省,文安,9,26.9,15.9,47.3
1981年-2010年,河北省,文安,10,20.3,8.8,24.4
1981年-2010年,河北省,文安,11,10.7,0.2,10.5
1981年-2010年,河北省,文安,12,3.8,-6,2.4
1981年-2010年,河北省,无极,1,3,-8.7,2.3
1981年-2010年,河北省,无极,2,6.9,-5.1,4.3
1981年-2010年,河北省,无极,3,13.6,0.9,10.8
1981年-2010年,河北省,无极,4,21.4,8.1,23.9
1981年-2010年,河北省,无极,5,26.8,13.8,37.3
1981年-2010年,河北省,无极,6,31.9,19.3,53.4
1981年-2010年,河北省,无极,7,32.1,22.4,133.4
1981年-2010年,河北省,无极,8,30.3,21,116.2
1981年-2010年,河北省,无极,9,26.9,15.2,46.9
1981年-2010年,河北省,无极,10,20.8,8.5,22.2
1981年-2010年,河北省,无极,11,11.3,0.2,11.3
1981年-2010年,河北省,无极,12,4.6,-5.8,2.5
1981年-2010年,河北省,吴桥,1,3.3,-7.5,2.9
1981年-2010年,河北省,吴桥,2,7.1,-4.4,5.9
1981年-2010年,河北省,吴桥,3,13.4,1.4,11.2
1981年-2010年,河北省,吴桥,4,21.5,8.7,20.1
1981年-2010年,河北省,吴桥,5,27.2,14.5,40
1981年-2010年,河北省,吴桥,6,31.7,19.6,72.8
1981年-2010年,河北省,吴桥,7,31.9,22.5,167.3
1981年-2010年,河北省,吴桥,8,30.5,21.3,128.2
1981年-2010年,河北省,吴桥,9,27,15.7,36.8
1981年-2010年,河北省,吴桥,10,21,8.8,29.8
1981年-2010年,河北省,吴桥,11,12,0.7,11.4
1981年-2010年,河北省,吴桥,12,4.9,-5.3,3.7
1981年-2010年,河北省,武安,1,4.1,-5.2,3.9
1981年-2010年,河北省,武安,2,8.5,-1.7,6.5
1981年-2010年,河北省,武安,3,15.1,4,14.1
1981年-2010年,河北省,武安,4,22.4,10.3,20.4
1981年-2010年,河北省,武安,5,27.8,16.3,54
1981年-2010年,河北省,武安,6,32,20.8,56.2
1981年-2010年,河北省,武安,7,31.5,22.8,147.4
1981年-2010年,河北省,武安,8,29.8,21.1,127.5
1981年-2010年,河北省,武安,9,26.4,16.5,56.5
1981年-2010年,河北省,武安,10,20.9,10.4,28.7
1981年-2010年,河北省,武安,11,13.4,2.7,12
1981年-2010年,河北省,武安,12,6.3,-2.9,3.3
1981年-2010年,河北省,武强,1,2.7,-8.7,2.1
1981年-2010年,河北省,武强,2,6.8,-5.3,4.8
1981年-2010年,河北省,武强,3,13.4,0.7,11
1981年-2010年,河北省,武强,4,21.8,8.2,19.8
1981年-2010年,河北省,武强,5,27.6,14,34.3
1981年-2010年,河北省,武强,6,32,19.3,67.1
1981年-2010年,河北省,武强,7,32.1,22.3,154.2
1981年-2010年,河北省,武强,8,30.4,21,124.4
1981年-2010年,河北省,武强,9,26.9,15.2,45.2
1981年-2010年,河北省,武强,10,20.8,8.2,25.7
1981年-2010年,河北省,武强,11,11.4,-0.1,10.9
1981年-2010年,河北省,武强,12,4.4,-6.2,2.6
1981年-2010年,河北省,武邑,1,2.9,-7.9,2.1
1981年-2010年,河北省,武邑,2,7,-4.6,5.3
1981年-2010年,河北省,武邑,3,13.5,1.3,10.1
1981年-2010年,河北省,武邑,4,21.6,8.5,20
1981年-2010年,河北省,武邑,5,27.3,14.3,38.7
1981年-2010年,河北省,武邑,6,31.9,19.7,65.1
1981年-2010年,河北省,武邑,7,32,22.6,145.7
1981年-2010年,河北省,武邑,8,30.4,21.3,122.9
1981年-2010年,河北省,武邑,9,26.9,15.8,42.6
1981年-2010年,河北省,武邑,10,20.9,8.9,27.4
1981年-2010年,河北省,武邑,11,11.6,0.5,10.6
1981年-2010年,河北省,武邑,12,4.6,-5.5,2.7
1981年-2010年,河北省,献县,1,2.7,-7.6,2.2
1981年-2010年,河北省,献县,2,6.8,-4.4,5
1981年-2010年,河北省,献县,3,13.4,1.4,10.5
1981年-2010年,河北省,献县,4,21.6,8.8,21.2
1981年-2010年,河北省,献县,5,27.4,14.6,34.6
1981年-2010年,河北省,献县,6,32,19.9,66.8
1981年-2010年,河北省,献县,7,32.2,22.8,149.6
1981年-2010年,河北省,献县,8,30.6,21.6,121
1981年-2010年,河北省,献县,9,27,16,45.2
1981年-2010年,河北省,献县,10,20.7,9.2,25.6
1981年-2010年,河北省,献县,11,11.3,0.8,11.6
1981年-2010年,河北省,献县,12,4.3,-5.2,3
1981年-2010年,河北省,香河,1,1.6,-9.1,3.2
1981年-2010年,河北省,香河,2,5.4,-5.7,4.1
1981年-2010年,河北省,香河,3,12,0.3,9.9
1981年-2010年,河北省,香河,4,20.5,7.9,21.2
1981年-2010年,河北省,香河,5,26.3,13.8,40.2
1981年-2010年,河北省,香河,6,30.5,19,74.6
1981年-2010年,河北省,香河,7,31.4,22.2,168.8
1981年-2010年,河北省,香河,8,30.3,21.2,138.4
1981年-2010年,河北省,香河,9,26.4,15.3,46.2
1981年-2010年,河北省,香河,10,19.5,7.9,25.6
1981年-2010年,河北省,香河,11,10,-0.5,10.8
1981年-2010年,河北省,香河,12,3.3,-6.3,2.8
1981年-2010年,河北省,辛集,1,3.2,-6.7,2.1
1981年-2010年,河北省,辛集,2,7.3,-3.5,5.8
1981年-2010年,河北省,辛集,3,13.8,2.2,10.4
1981年-2010年,河北省,辛集,4,21.8,9.4,20.6
1981年-2010年,河北省,辛集,5,27.4,15,35.9
1981年-2010年,河北省,辛集,6,32.2,20.3,50.6
1981年-2010年,河北省,辛集,7,32.3,22.9,126.2
1981年-2010年,河北省,辛集,8,30.5,21.7,126
1981年-2010年,河北省,辛集,9,26.9,16.2,49.4
1981年-2010年,河北省,辛集,10,21,9.5,24.6
1981年-2010年,河北省,辛集,11,11.6,1.3,11.6
1981年-2010年,河北省,辛集,12,4.8,-4.3,3.1
1981年-2010年,河北省,新河,1,3.3,-7.6,2.4
1981年-2010年,河北省,新河,2,7.3,-4.1,6.1
1981年-2010年,河北省,新河,3,13.9,1.8,11.7
1981年-2010年,河北省,新河,4,22.1,8.9,18.8
1981年-2010年,河北省,新河,5,27.7,14.7,42.8
1981年-2010年,河北省,新河,6,32.4,20,55.1
1981年-2010年,河北省,新河,7,32.3,22.6,116.1
1981年-2010年,河北省,新河,8,30.6,21.3,117.2
1981年-2010年,河北省,新河,9,27,15.7,41.5
1981年-2010年,河北省,新河,10,21.2,8.8,25.7
1981年-2010年,河北省,新河,11,11.9,0.5,11.6
1981年-2010年,河北省,新河,12,5,-5.2,3.4
1981年-2010年,河北省,新乐,1,3,-8.9,2.9
1981年-2010年,河北省,新乐,2,6.8,-5.1,5
1981年-2010年,河北省,新乐,3,13.4,0.9,10.6
1981年-2010年,河北省,新乐,4,21.3,8.1,20.1
1981年-2010年,河北省,新乐,5,26.8,13.9,38.5
1981年-2010年,河北省,新乐,6,31.6,19.2,57.6
1981年-2010年,河北省,新乐,7,31.9,22.2,122.1
1981年-2010年,河北省,新乐,8,30.2,20.8,140.6
1981年-2010年,河北省,新乐,9,26.7,15.1,52.9
1981年-2010年,河北省,新乐,10,20.6,8.3,22.5
1981年-2010年,河北省,新乐,11,11.3,-0.1,11.6
1981年-2010年,河北省,新乐,12,4.6,-6.2,2.9
1981年-2010年,河北省,兴隆,1,-1.5,-15.6,2.7
1981年-2010年,河北省,兴隆,2,2.1,-11.6,4.4
1981年-2010年,河北省,兴隆,3,8.2,-4.8,13.2
1981年-2010年,河北省,兴隆,4,16.8,3.1,26.1
1981年-2010年,河北省,兴隆,5,22.9,9.1,52.9
1981年-2010年,河北省,兴隆,6,26.6,14,89.6
1981年-2010年,河北省,兴隆,7,27.7,17.5,219.9
1981年-2010年,河北省,兴隆,8,26.9,16.1,169.2
1981年-2010年,河北省,兴隆,9,22.7,9.4,65.2
1981年-2010年,河北省,兴隆,10,16.1,2,31.2
1981年-2010年,河北省,兴隆,11,7,-5.7,11.1
1981年-2010年,河北省,兴隆,12,0.4,-12.6,3.5
1981年-2010年,河北省,行唐,1,3,-8.9,2.7
1981年-2010年,河北省,行唐,2,6.7,-5.3,4.9
1981年-2010年,河北省,行唐,3,13.2,0.7,10.5
1981年-2010年,河北省,行唐,4,20.8,7.6,19.3
1981年-2010年,河北省,行唐,5,26.2,13.4,41.6
1981年-2010年,河北省,行唐,6,31.3,18.7,56.4
1981年-2010年,河北省,行唐,7,31.6,22,124.8
1981年-2010年,河北省,行唐,8,29.7,20.6,132.6
1981年-2010年,河北省,行唐,9,26.3,14.9,55.2
1981年-2010年,河北省,行唐,10,20.4,8.3,23.2
1981年-2010年,河北省,行唐,11,11.2,0,12.7
1981年-2010年,河北省,行唐,12,4.6,-6.1,3
1981年-2010年,河北省,雄县,1,2.1,-8.5,2.7
1981年-2010年,河北省,雄县,2,6.1,-5.2,4.3
1981年-2010年,河北省,雄县,3,13,1,8.6
1981年-2010年,河北省,雄县,4,21.6,8.8,20.4
1981年-2010年,河北省,雄县,5,27.1,14.5,32.7
1981年-2010年,河北省,雄县,6,31.4,19.4,64.3
1981年-2010年,河北省,雄县,7,31.8,22.3,162.8
1981年-2010年,河北省,雄县,8,30.4,21.3,111
1981年-2010年,河北省,雄县,9,26.7,15.6,49.3
1981年-2010年,河北省,雄县,10,20.2,8.3,25.7
1981年-2010年,河北省,雄县,11,10.6,0,10.6
1981年-2010年,河北省,雄县,12,3.7,-6.1,2.2
1981年-2010年,河北省,徐水,1,2.3,-9.7,2.6
1981年-2010年,河北省,徐水,2,6.4,-5.9,4
1981年-2010年,河北省,徐水,3,13,0.4,11.2
1981年-2010年,河北省,徐水,4,20.8,7.5,21.4
1981年-2010年,河北省,徐水,5,26.3,13.2,36.1
1981年-2010年,河北省,徐水,6,31.3,18.8,62.6
1981年-2010年,河北省,徐水,7,31.8,22.2,153.9
1981年-2010年,河北省,徐水,8,30.1,20.7,119.9
1981年-2010年,河北省,徐水,9,26.5,14.5,57.9
1981年-2010年,河北省,徐水,10,20,7.6,21.9
1981年-2010年,河北省,徐水,11,10.5,-0.8,11.7
1981年-2010年,河北省,徐水,12,3.8,-7,2.6
1981年-2010年,河北省,宣化,1,-2.2,-16,1.4
1981年-2010年,河北省,宣化,2,2.4,-11.9,2.2
1981年-2010年,河北省,宣化,3,9.3,-4.9,7.5
1981年-2010年,河北省,宣化,4,18.7,2.9,15.8
1981年-2010年,河北省,宣化,5,25.5,10,32
1981年-2010年,河北省,宣化,6,29.1,14.8,58.9
1981年-2010年,河北省,宣化,7,29.6,17.6,89.5
1981年-2010年,河北省,宣化,8,28.2,15.7,67.4
1981年-2010年,河北省,宣化,9,23.9,9.2,50.9
1981年-2010年,河北省,宣化,10,16.7,1.9,18
1981年-2010年,河北省,宣化,11,6.7,-6.8,4.8
1981年-2010年,河北省,宣化,12,-0.6,-13.7,1.5
